"wineID",fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
2450,6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6
2451,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
2452,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
2453,7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
2455,7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5
2456,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
2457,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
2458,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
2459,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
2460,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
2461,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
2462,8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5
2463,8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5
2464,7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7
2465,6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5
2466,7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5
2467,7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5
2468,7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
2469,5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
2470,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
2471,7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5
